category_clean,total_complaints
PERSONAL & HOUSEHOLD,6497
AUTOMOTIVE,3799
TRAVEL,1494
"BUILDING, CONSTRUCTION & TRADE",1440
COMMUNICATION & IT,1356
REAL ESTATE,1281
FUEL & CHEMICALS,1071
HEALTH & BEAUTY,911
UTILITIES,629
"CULTURE, ENTERTAINMENT & MEDIA",623
